stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Bonn Beuel Bf,,619630,50.738476,7.127656,1,
Bonn Hbf,,37917,50.732006,7.097131,1,
Bonn Hbf,37917,583931,50.73187,7.096987,,
Bonn-Beuel,619630,213648,50.738728,7.126748,,
Brandenburg Hbf,339019,188052,52.400276,12.565075,,2
Brandenburg Hbf,339019,379933,52.40021,12.565134,,3
"Brandenburg, Hauptbahnhof",,339019,52.400795,12.566036,1,
Bratislava hl.st.,,247211,48.15891,17.106466,1,
Bratislava hl.st.,247211,292812,48.15891,17.106466,,
Braunschweig Hbf,317667,416815,52.252216,10.540295,,
"Braunschweig, Hauptbahnhof",,317667,52.252644,10.539547,1,
Breclav,,370834,48.7539,16.893236,1,
Breclav,370834,1215,48.7539,16.893236,,
Breclav(Gr),,312569,48.71265,16.86837,1,
Breclav(Gr),312569,288265,48.71265,16.86837,,
Bregenz,,38493,47.503002,9.739627,1,
Bregenz,38493,29311,47.503002,9.739627,,
Bremen Hbf,,61285,53.083256,8.813857,1,
Bremen Hbf,61285,146216,53.082993,8.813512,,
Bremen Hbf,61285,205621,53.083355,8.813982,,
Bremen Hbf,61285,275078,53.083565,8.81426,,
Bremen Hbf,61285,293941,53.082947,8.813447,,
Bremen Hbf,61285,339655,53.0835,8.81418,,
Bremen Hbf,61285,485670,53.083275,8.813879,,
Bremen Hbf,61285,642532,53.083073,8.813611,,
Bremen Hbf,61285,86833,53.08342,8.814067,,
Brennero/Brenner,,575548,47.002342,11.505426,1,
Brennero/Brenner,575548,611134,47.002342,11.505426,,
Bressanone/Brixen,,567286,46.709896,11.649764,1,
Bressanone/Brixen,567286,312963,46.709896,11.649764,,
Brig,,117705,46.319424,7.988095,1,
Brig,117705,598245,46.319424,7.988095,,
Brno hl.n.,,666338,49.19054,16.612774,1,
Brno hl.n.,666338,327910,49.19054,16.612774,,
Bruchsal,,80421,49.124924,8.590347,1,
Bruchsal,80421,130900,49.124622,8.589649,,
Bruck/Mur,,249428,47.41388,15.279491,1,
Bruck/Mur,249428,368973,47.41388,15.279491,,
Brugg AG,,307455,47.48086,8.208845,1,
Brugg AG,307455,553634,47.48086,8.208845,,
Bruxelles Midi,,389898,50.835377,4.335694,1,
Bruxelles Midi,389898,362213,50.835377,4.335694,,
Bruxelles-Nord,,634300,50.860237,4.361454,1,
Bruxelles-Nord,634300,567005,50.860237,4.361454,,
Brzeg,,449581,50.85297,17.471178,1,
Brzeg,449581,395208,50.85297,17.471178,,
Brzeg Dolny,,101450,51.266193,16.726768,1,
Brzeg Dolny,101450,296643,51.266193,16.726768,,
Brzesko Okocim,,397236,49.986397,20.6103,1,
Brzesko Okocim,397236,123847,49.986397,20.6103,,
Buchloe,,456141,48.033722,10.716219,1,
Buchloe,456141,348028,48.033722,10.716217,,
Budapest-Kelenföld,,227177,47.464355,19.020456,1,
Budapest-Kelenföld,227177,577025,47.464355,19.020456,,
Budapest-Keleti,,65490,47.50038,19.085072,1,
Budapest-Keleti,65490,18088,47.50038,19.085072,,
Budapest-Nyugati,,248164,47.510708,19.057467,1,
Budapest-Nyugati,248164,126923,47.510708,19.057467,,
Bydgoszcz Glowna,,413401,53.135113,17.991636,1,
Bydgoszcz Glowna,413401,531831,53.135113,17.991636,,
Böblingen,,378562,48.687847,9.004533,1,
Böblingen,378562,609420,48.68776,9.004128,,
Bünde(Westf),22165,193880,52.202076,8.573876,,
"Bünde, Bahnhof / ZOB",,22165,52.202076,8.573871,1,
Bützow,471302,205957,53.837112,11.998194,,
Bützow Bahnhof,,471302,53.837006,11.997513,1,
Celle,401637,35401,52.620457,10.062468,,
Celle Bahnhof,,401637,52.62075,10.064787,1,
Ceska Trebova,,358483,49.897324,16.446808,1,
Ceska Trebova,358483,400571,49.897324,16.446808,,
Chalupki,,287168,49.925476,18.311562,1,
Chalupki,287168,224525,49.925476,18.311562,,
Chelm,,400671,51.141197,23.494036,1,
Chelm,400671,665062,51.141197,23.494036,,
Chelm Miasto,,602785,51.138405,23.459185,1,
Chelm Miasto,602785,236394,51.138405,23.459185,,
Chemnitz Hbf,348939,393237,50.839695,12.930877,,
"Chemnitz, Hauptbahnhof",,348939,50.83963,12.930692,1,
Chojna,,491782,52.963406,14.443931,1,
Chojna,491782,468828,52.963406,14.443931,,
Chojnow,,129958,51.277657,15.937051,1,
Chojnow,129958,103479,51.277657,15.937051,,
Choszczno,,151512,53.16528,15.403792,1,
Choszczno,151512,572068,53.16528,15.403792,,
Chur,,192215,46.853085,9.528938,1,
Chur,192215,230772,46.853085,9.528938,,
Coburg,,152431,50.262924,10.957326,1,
Coburg,152431,479190,50.262928,10.957328,,
Cottbus Hbf,16384,62924,51.750957,14.324162,,
"Cottbus, Hauptbahnhof",,16384,51.750984,14.324464,1,
Crailsheim,193395,296822,49.13787,10.064326,,
Crailsheim Bahnhof,,193395,49.137913,10.06432,1,
D-Flughafen Bf,,224406,51.29158,6.787041,1,
Dabrowa Gornicza,,201007,50.330173,19.185452,1,
Dabrowa Gornicza,201007,202877,50.330173,19.185452,,
Darmstadt Hauptbahnhof,,84276,49.87194,8.631148,1,
Darmstadt Hbf,84276,399774,49.8725,8.629636,,
Debica,,542649,50.054417,21.405565,1,
Debica,542649,459998,50.054417,21.405565,,
Deblin,,255236,51.577408,21.834736,1,
Deblin,255236,70561,51.577408,21.834736,,
Decin hl.n.,,620493,50.773193,14.200972,1,
Decin hl.n.,620493,203068,50.773415,14.201247,,
Delmenhorst,,45793,53.05278,8.629879,1,
Delmenhorst,45793,24214,53.05279,8.629758,,
Dessau Hbf,,117401,51.839867,12.234945,1,
Dessau Hbf,117401,3689,51.839867,12.234945,,
Deventer,,549984,52.257435,6.160506,1,
Deventer,549984,230675,52.257435,6.160506,,
Diepholz,,141678,52.6046,8.380249,1,
Diepholz,141678,176524,52.6046,8.380267,,
Diepholz,141678,72235,52.604637,8.38013,,
Dillenburg,132386,86773,50.734943,8.294621,,
Dillenburg Bahnhof,,132386,50.734905,8.294586,1,
